Term,Project,TopicID,Screen#,Template Type,Category,Status,Type,Title or Non Title,Title,Instruction,Tooltip,Webhost link,Title by
2,MOE_SCI,SC7_L020_Investigate_1,3,Hotspot,,Done,,,,Small Amounts Can be Managed. What About Large Amouints?,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/MOE/G7/SC7_L020_Investigate_1/app/,Aditi
2,NCE_SCI,CS_SC6_L012_Learn_2,5,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Place the correct offspring alleles in the correct box.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G6/CS_SC6_L012_Learn_2/app/index.html,Aditi
2,NCE_SCI,CS_SC6_L013_Investigate_1,6,Custom DND,B1,Done,Drag and Drop,NotInTitle,,Drag and drop the offspring genotypes that resulted from each type of reproduction,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/NCE/G6/CS_SC6_L013_Investigate_1/app/index.html,Aditi
2,NCE_SCI,CS_SC7_L017_Investigate_1,6,Custom DND,A1,Done,Drag and Drop,inTitle,,Drag and drop the words to sort these parts of a school ecosystem.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G7/CS_SC7_L017_Investigate_1/app/index.html,Aditi
2,NCE_SCI,CS_SC6_L014_Investigate_1,6,Custom DND,A1,Done,Drag and Drop,inTitle,,Drag and drop the fruit in increasing order from the fewest to the most seeds.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G6/CS_SC6_L014_Investigate_1/app/index.html,Aditi
2,NCE_SCI,CS_SC9_L019_SecondLook_1,2,Custom DND,A1,Done,Drag and Drop,inTitle,,Drag and drop the words to the correct place in the picture.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Alpha/LOs/NCE/G9/CS_SC9_L019_SecondLook_1/app/index.html,Aditi
2,NCE_SCI,CS_SC9_L018_Investigate_1,6,Custom DND,A1,Done,Drag and Drop,inTitle,,Drag and drop the words to sort these parts of a school ecosystem.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G9/CS_SC9_L018_Investigate_1/app/index.html,Aditi
2,NCE_SCI,CS_SC8_L022_Investigate_1,6,Custom DND,A1,Done,Drag and Drop,NotInTitle,,This graph shows results from a similar experiment. Label the graph.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G8/CS_SC8_L022_Investigate_1/app/index.html,Aditi
2,NCE_SCI,CS_SC6_L015_Learn_1,5,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Identify the courtship behaviour that each picture shows.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Beta/LOs/NCE/G6/CS_SC6_L015_Learn_1/app/,Aditi
2,NCE_SCI,CS_SC6_L015_Learn_2,4,Custom DND,A1,Done,Drag and Drop,NotInTitle,,Identify the parenting behaviour that each picture shows.,,https://webhost.mitrmedia.com/ftp/alef_simulation_development/Alef_LOs_Term2/To_Client/Gold/LOs/NCE/G6/CS_SC6_L015_Learn_2/app/,Aditi
